2024-03-17 18:41:18, GPU Temperature: 53°C, nvlddmkm.sys: Not Present
2024-03-17 18:41:23, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:41:28, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:41:33, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:41:38, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:41:43, GPU Temperature: 54°C, nvlddmkm.sys: Not Present
2024-03-17 18:41:48, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:41:54, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:41:59, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:42:04, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:42:09, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:42:14, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:42:19, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:42:24, GPU Temperature: 50°C, nvlddmkm.sys: Not Present
2024-03-17 18:42:29, GPU Temperature: 50°C, nvlddmkm.sys: Not Present
2024-03-17 18:42:34, GPU Temperature: 53°C, nvlddmkm.sys: Not Present
2024-03-17 18:42:39, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:42:44, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:42:49, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:42:54, GPU Temperature: 50°C, nvlddmkm.sys: Not Present
2024-03-17 18:42:59, GPU Temperature: 53°C, nvlddmkm.sys: Not Present
2024-03-17 18:43:04, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:43:09, GPU Temperature: 50°C, nvlddmkm.sys: Not Present
2024-03-17 18:43:15, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:43:20, GPU Temperature: 50°C, nvlddmkm.sys: Not Present
2024-03-17 18:43:25, GPU Temperature: 50°C, nvlddmkm.sys: Not Present
2024-03-17 18:43:30, GPU Temperature: 50°C, nvlddmkm.sys: Not Present
2024-03-17 18:43:35, GPU Temperature: 50°C, nvlddmkm.sys: Not Present
2024-03-17 18:43:40, GPU Temperature: 50°C, nvlddmkm.sys: Not Present
2024-03-17 18:43:45, GPU Temperature: 50°C, nvlddmkm.sys: Not Present
2024-03-17 18:43:50, GPU Temperature: 50°C, nvlddmkm.sys: Not Present
2024-03-17 18:43:55, GPU Temperature: 50°C, nvlddmkm.sys: Not Present
